Party Name,Description,Rate
TATA MOTORS  LIMITED,REAR HUB PLASTIC CAP,0.7
TATA MOTORS  LIMITED,M 10 PLASTIC CAP,0.73
AMIT TRADING CORPORATION,SPINDLE CAP 85,4.0
AMIT TRADING CORPORATION,SPINDLE CAP 80 X 2,4.0
AMIT TRADING CORPORATION,SPINDLE CAP 60 X 2,4.0
AMIT TRADING CORPORATION,SPINDLE CAP 133,4.0
AMIT TRADING CORPORATION,SPINDLE CAP 82.5,4.0
RAJ MACHINING CENTER,NAN,3.0
ALIED INSTRUMENTS & THERMOCOUPLES,SS LANCE 16X11 X 810MM LONG,225.0
ALIED INSTRUMENTS & THERMOCOUPLES,SS LANCE 16X11 X 1710 MM LONG,225.0
TIMKEN,"EXIT CHUTE TUBE ID 9.52, DWG.EM-465746",5500.0
RAJ MACHINING CENTER,SPINDLE CAP -139,3.0
AMIT TRADING CORPORATION,SPINDLE CAP 139,4.0
TIMKEN,CUP ADAPTOR,550.0
TIMKEN,REPAIRING OF STUD THREAD,225.0
RSB,621 THRUST WASHER,0.8
ALIED INSTRUMENTS & THERMOCOUPLES,BEND LANCE 4.7 MTRS (LENGTH) WITH 1100 MM,1350.0
ALIED INSTRUMENTS & THERMOCOUPLES,STRAIGHT LANCE 3.5 MTRS.,650.0
ALIED INSTRUMENTS & THERMOCOUPLES,STRAIGHT PIPE ONE SIDE THREAD,250.0
TIMKEN,ASSEMBLY MACHINE HYDRAULIC STATION CLOSING.,12700.0
KROSS,THREAD CAP M40 X 1.5MM,3.0
RAJ MACHINING CENTER,SPINDLE CAP -95.6,3.0
RKFL,PLASTIC CAP FOR DRIVE  SHAFT M52X1.5,3.0
RKFL,PLASTIC CAP (RA110) D 111 X 89 MM DISC,4.0
RAJ MACHINING CENTER,TCH  -49  X  37,3.0
RKFL,PLASTIC CAP DIA  115 MM,3.5
RSB,P06150106,7.0
KROSS,THREAD CAP M80,4.0
RKFL,PLASTIC SEPARATOR  DISC,4.0
ALIED INSTRUMENTS & THERMOCOUPLES,M. S. PLATE(WITH GRINDING),15.95
RAJ MACHINING CENTER,DAF SPINDLE CAP,3.0
RAJ MACHINING CENTER,EGE SPINDLE CAP,3.0
RKFL,PLASTIC CAP R A SHAFT,4.2
RAJ MACHINING CENTER,DAF SPINDLE CAP (UPPER),3.0
ALIED INSTRUMENTS & THERMOCOUPLES,16X11X1080 MM LONG SS LANCE,225.0
RSB,PART NO.PO6150024,0.07
RSB,CENTRE BEARING,14.59
RKFL,PLASTIC CAP SPLINE,5.0
RAJ MACHINING CENTER,SPINDLE CAP (139),3.0
RAJ MACHINING CENTER,SPINDLE CAP (85),3.0
RKFL,PLASTIC CAP ITL,5.5
RAJ MACHINING CENTER,SPINDLE CAP 95.6,3.0
RAJ MACHINING CENTER,SPINDLE CAP 85.5,3.0
THE TINPLATE COMPANY OF INDIA  LIMITED,CS23-11 (7.5 KW) END COVER REPAIRING,1080.0
THE TINPLATE COMPANY OF INDIA  LIMITED,C22-198 (7.5KW) END COVER REPAIRING,1080.0
THE TINPLATE COMPANY OF INDIA  LIMITED,C22-194 (18.5KW) END COVER REPAIRING,1470.0
ALIED INSTRUMENTS & THERMOCOUPLES,16X11X1750 MM LONG SS LANCE,225.0
ZF CVCS  INDIA LIMITED,COUPLING (PILLAR MACHINE),11400.0
RAJ MACHINING CENTER,SPINDLE CAP 82.5,3.0
RAJ MACHINING CENTER,SPINDLE CAP 133,3.0
RAJ MACHINING CENTER,SPINDLE CAP 85,3.0
ALIED INSTRUMENTS & THERMOCOUPLES,16X11X1110 MM LONG SS LANCE,225.0
ALIED INSTRUMENTS & THERMOCOUPLES,16X11X1410 MM LONG SS LANCE,225.0
ALIED INSTRUMENTS & THERMOCOUPLES,16X11X1710 MM LONG SS LANCE,225.0
THE TINPLATE COMPANY OF INDIA  LIMITED,C/23-57 (5.5) KWEND COVER REPAIRING,1080.0
THE TINPLATE COMPANY OF INDIA  LIMITED,C/23-16 (15 KW) END COVER REPAIRING,1410.0
THE TINPLATE COMPANY OF INDIA  LIMITED,CS23-23 (45 KW) END COVER REPAIRING,2550.0
THE TINPLATE COMPANY OF INDIA  LIMITED,CS23-25 (45 KW) END COVER REPAIRING,2550.0
THE TINPLATE COMPANY OF INDIA  LIMITED,CS23-26 (45 KW) END COVER REPAIRING,2550.0
RSB,PLASTIC CAP LONG FORK,4.6
RAJ MACHINING CENTER,SPINDLE CAP 139,3.0
RKFL,PLASTIC CAP SPLINE RA SHAFT (ID 60.3),5.0
RKFL,PLASTIC CAP SPLINE RASHAFT(ID 46.5),4.5
RSB,403 THURST WASHER,0.7
RSB,PLASTIC  CAP LONG FORK,4.6
RKFL,PLASTIC CAP 185MM DIA FOR 404 DIFF CASE,9.5
RKFL,PLASTIC CAP 73.5MM DIA FOR 404 DIFF CASE,4.5
ALIED INSTRUMENTS & THERMOCOUPLES,M.S.BUSH,7.25
TIMKEN,SEIBU ROLL,2000.0
TIMKEN,SPINDLE REPAIRING,2000.0
RSB,DOST WASHER,0.75
THE TINPLATE COMPANY OF INDIA  LIMITED,END COVER 15 HP,1510.0
THE TINPLATE COMPANY OF INDIA  LIMITED,END COVER 45 HP,2042.0
THE TINPLATE COMPANY OF INDIA  LIMITED,END COVER 7.5 HP,902.0
RSB,REAR  LOCATOR 590 JT,0.8
SILICON,63.5 DIA SPINDLE CAP,3.75
RKFL,PLASTIC CAP - 150 DIA,4.0
TATA CUMMINS,SPARE MECHANICAL SHAFT,159.0
TATA CUMMINS,SPARE MECHANICAL BUSH,67.0
RAJ MACHINING CENTER,PLASTIC CAP DIA 85.5,3.0
TATA CUMMINS,BRASS BUSH,255.0
TIMKEN,BAKING RING,1200.0
RAJ MACHINING CENTER,TCH  49  X  37,3.0
THE TINPLATE COMPANY OF INDIA  LIMITED,C/S 23-38 9.3KW END COVER,1160.0
THE TINPLATE COMPANY OF INDIA  LIMITED,E-23-46(15KW),1874.0
THE TINPLATE COMPANY OF INDIA  LIMITED,E-23-41(3.7KW),727.0
THE TINPLATE COMPANY OF INDIA  LIMITED,E-23-38(30KW),1874.0
RKFL,SEPARATOR DISK 150,4.0
THE TINPLATE COMPANY OF INDIA  LIMITED,C 23-80 (18.5KW) MOTOR END COVER REPAIRING,1470.0
THE TINPLATE COMPANY OF INDIA  LIMITED,C 23-74 (7.5 KW) MOTOR END COVER REPAIRING,1180.0
THE TINPLATE COMPANY OF INDIA  LIMITED,C 23-74 (5.5KW) MOTOR END COVER REPAIRING,1080.0
THE TINPLATE COMPANY OF INDIA  LIMITED,C 23-78 (3.7KW) MOTOR END COVER REPAIRING,998.0
THE TINPLATE COMPANY OF INDIA  LIMITED,END COVER (15 KW) MOTOR END COVER REPAIRING,1410.0
THE TINPLATE COMPANY OF INDIA  LIMITED,END COVER (45 KW) MOTOR END COVER REPAIRING,2042.0
ALIED INSTRUMENTS & THERMOCOUPLES,SEND MIXING BLADE(TOP),4.0
ALIED INSTRUMENTS & THERMOCOUPLES,CERAMIC PRESS MACHINE MATS MS,575.0
ALIED INSTRUMENTS & THERMOCOUPLES,TIPS HOLDING PISTON,650.0
ALIED INSTRUMENTS & THERMOCOUPLES,"MAKING NEW NIPPLE FOR 1100 MM, 3/4 LANCE",225.0
RAJ MACHINING CENTER,PLASTIC CAP 49X37HT,3.0
RSB,PROTECTIE COVER 70 DIA,3.0
RKFL,PLASTIC CAP FOR S-175 OD 95.35 MM COMMON,6.5
ALIED INSTRUMENTS & THERMOCOUPLES,S S LANCE  16 X 11 X 1110,225.0
ALIED INSTRUMENTS & THERMOCOUPLES,S S LANCE  16 X 11 X 1410,225.0
ALIED INSTRUMENTS & THERMOCOUPLES,S S LANCE  16 X 11 X 1710,225.0
RKFL,PLASTIC CAP  3/4 BSPT THREAD,4.0
RKFL,PLASTIC CAP (THREAD M 100),3.8
RKFL,PLASTIC CAP  3 1/4 BSPT THREAD,4.0
RKFL,PLASTIC CAP SPLINERASHAFT(ID 60.3),5.0
RKFL,PLASTIC CAP SEPARATOR  200,6.0
AMIT TRADING CORPORATION,SPLINE CAP FOR RA SHAFT(60.3),5.0
AMIT TRADING CORPORATION,SPLINE CAP FOR RA SHAFT(75.2),4.2
ALIED INSTRUMENTS & THERMOCOUPLES,3/4  LANCE - 4.7MM,1350.0
ALIED INSTRUMENTS & THERMOCOUPLES,3/4  LANCE - 3.5MM,650.0
ALIED INSTRUMENTS & THERMOCOUPLES,3/4  LANCE - 3MM,650.0
ALIED INSTRUMENTS & THERMOCOUPLES,REPAIR OF MENDAL,850.0
KROSS,THREAD CAP  M-40,3.0
KROSS,THREAD CAP  M46 X 1.5,3.0
RKFL,PLASTIC CAP BD-D66.40 (DANA SPINDLE),4.0
TATA MOTORS  LIMITED,REAR AXLE PLASTIC CAPS M14 X 2 MM,2.25
RKFL,PLASTIC CAP THREAD M  80,5.9
ALIED INSTRUMENTS & THERMOCOUPLES,16X11X1110MM LANCE,225.0
SILICON,63.5  DIA SPINDLE CAP,3.75
RKFL,THREAD PROTECTING CAP M50X1.5,3.5
TIMKEN,CAGE-L163101,800.0
RKFL,THREAD PROTECTING CAP M40X1.5,3.5
TATA CUMMINS,M S PACKING STRIP,15.0
TIMKEN,CHUCK NUT,550.0
RSB,PLASTIC CAP DIA 70 FOR DANA HUB GEAR,3.0
THE TINPLATE COMPANY OF INDIA  LIMITED,END COVER OF 3.7 KW,998.0
THE TINPLATE COMPANY OF INDIA  LIMITED,E23-69 15 KW,1874.0
THE TINPLATE COMPANY OF INDIA  LIMITED,E23-72 1.1 KW,727.0
THE TINPLATE COMPANY OF INDIA  LIMITED,E23-58 1.1 KW,727.0
THE TINPLATE COMPANY OF INDIA  LIMITED,E23-78 1.5 KW,727.0
ALIED INSTRUMENTS & THERMOCOUPLES,GEAR BOX,5000.0
THE TINPLATE COMPANY OF INDIA  LIMITED,630MM CRANE WHEEL,24000.0
NAN,PLASTIC CAP BD 66.40,3.2
TIMKEN,CAGE,850.0
RAJ MACHINING CENTER,TCH-49 X 37,3.0
RKFL,PLASTIC CAP 73.5 MM DIA FOR 404 DIFF CASE,4.5
ALIED INSTRUMENTS & THERMOCOUPLES,NIPPLE,225.0
TIMKEN,WORM SHAFT REPAIRING,1250.0
RKFL,PLASTIC CAP FLANGE RASHAFT (189.5),10.8
TATA CUMMINS,M.S.PACKING STRIP,15.0
ALIED INSTRUMENTS & THERMOCOUPLES,SHAFT REPAIRING,700.0
RKFL,PLASTIC CAP  FD-D115.75 (DANA SPINDLE),4.6
TIMKEN,REPAIRING OF CAGE,850.0
TIMKEN,REPAIR OF BACKING RING,1200.0
TIMKEN,SPACER 73 DIA,850.0
TIMKEN,SEGMENT SPACER248 DIA,4250.0
KROSS,THREAD PROTECTING CAP M40X1.5,3.0
KROSS,THREAD CAP  46 X 1.5,3.0
RKFL,PLASTIC CAP FD-D115.75 (DANA SPINDLE),4.6
RKFL,PLASTIC CAP FLANGE RASHAFT(ID 196.5),6.8
RKFL,PLASTI C CAP SPINDLE RASHAFT(ID 60.3),5.0
RKFL,PLASTIC CAP DIA 95.6 FOR,3.2
RKFL,PLASTIC CAP FLANGE RASHAFT (ID 196.5),6.8
TIMKEN,END CAP AM-170543,1000.0
TIMKEN,SUPPORT ROLLER AM-170544,1050.0
RKFL,PLASTIC CAP FD-D 133.75 (DANA SPINDLE),5.2
